animal_id,weeks,viral_load,log10_VL,true_time0
A11200,0,7442,3.871689665685515,-0.4
A11200,0.6,222914,5.348137344980072,-0.4
A11200,1.6,2801779,6.447433875822796,-0.4
A11200,2.6,21863,4.3397097547798325,-0.4
A11200,3.6,4211,3.624385241420265,-0.4
A11200,4.6,6365,3.803798407989674,-0.4
A11200,5.6,2154,3.3332456989619628,-0.4
A11200,6.6,1124,3.0507663112330423,-0.4
A11200,7.6,12349,4.091631790626808,-0.4
A11200,8.6,2166,3.3356584522893016,-0.4
A11201,0,1409,3.1489109931093564,-0.4
A11201,0.6,417691,5.620855117610233,-0.4
A11201,1.6,1018638,6.008019873374113,-0.4
A11201,2.6,11705,4.068371418032643,-0.4
A11201,3.6,2993,3.4761067168401913,-0.4
A11201,4.6,5512,3.7413092088995694,-0.4
A11201,5.6,1019,3.0081741840064264,-0.4
A11201,6.6,1318,3.119915410257991,-0.4
A11201,7.6,296,2.4712917110589387,-0.4
A11201,8.6,188,2.27415784926368,-0.4
A11213,0,2417,3.3832766504076504,-0.6
A11213,0.4,109975,5.0412939706489,-0.6
A11213,1.4,2298888,6.361517813301976,-0.6
A11213,2.4,23134,4.364250731245976,-0.6
A11213,3.4,2792,3.4459154139511234,-0.6
A11213,4.4,607,2.7831886910752575,-0.6
A11213,5.4,510,2.7075701760979363,-0.6
A11213,6.4,8185,3.91301868374796,-0.6
A11213,7.4,13775,4.139091607523823,-0.6
A11213,8.4,1325,3.1222158782728267,-0.6
A11214,0,2733,3.436639631692661,-0.6
A11214,0.4,67704,4.830614327866972,-0.6
A11214,1.4,86269,4.935854763877697,-0.6
A11214,2.4,3520,3.546542663478131,-0.6
A11214,3.4,517,2.7134905430939424,-0.6
A11214,4.4,1429,3.1550322287909704,-0.6
A11214,5.4,88,1.9444826721501687,-0.6
A11214,6.4,70,1.845098040014257,-0.6
A11214,7.4,23,1.3617278360175928,-0.6
A11214,8.4,49,1.6901960800285136,-0.6
A11219,0,20291,4.307303450866765,-0.6
A11219,0.4,2325046,6.3664315496339485,-0.6
A11219,1.4,252186,5.401720973230278,-0.6
A11219,2.4,520003,5.716005849172659,-0.6
A11219,3.4,140054,5.146295516966228,-0.6
A11219,4.4,44172,4.645147063494291,-0.6
A11219,5.4,91599,4.961890732435836,-0.6
A11219,6.4,179578,5.254253130416838,-0.6
A11219,7.4,56621,4.752977535298367,-0.6
A11219,8.4,13311,4.1242106834362176,-0.6
A11221,0,12765,4.106020819140269,-0.6
A11221,0.4,280967,5.448655314355219,-0.6
A11221,1.4,1220085,6.08639008784282,-0.6
A11221,2.4,63288,4.801321371505041,-0.6
A11221,3.4,8359,3.922154325231059,-0.6
A11221,4.4,5657,3.752586178740409,-0.6
A11221,5.4,9611,3.982768577251012,-0.6
A11221,6.4,2130,3.3283796034387376,-0.6
A11221,7.4,2555,3.4073909044707316,-0.6
A11221,8.4,707,2.8494194137968996,-0.6
R10155,0,24644,4.391711200121372,-0.6
R10155,0.4,2712122,6.433309221601767,-0.6
R10155,1.4,6860076,6.836328927105846,-0.6
R10155,2.4,521081,5.7169052379228695,-0.6
R10155,3.4,1178954,6.071496860280924,-0.6
R10155,4.4,228267,5.35844313114068,-0.6
R10155,5.4,173571,5.239477165586696,-0.6
R10155,6.4,736857,5.867383213589421,-0.6
R10155,7.4,1056735,6.0239660918798466,-0.6
R10155,8.4,546714,5.737760195246775,-0.6
R10159,0,36062,4.557049809044103,-0.6
R10159,0.4,3678155,6.565630026758043,-0.6
R10159,1.4,4318015,6.635284146660998,-0.6
R10159,2.4,118854,5.075013802376317,-0.6
R10159,3.4,54618,4.737335793114835,-0.6
R10159,4.4,40365,4.606004956819436,-0.6
R10159,5.4,131729,5.119681394958262,-0.6
R10159,6.4,19009,4.278959270684218,-0.6
R10159,7.4,2027,3.3068537486930087,-0.6
R10159,8.4,363,2.5599066250361124,-0.6
T10173,0,938868,5.972604536993104,-0.6
T10173,0.4,2822635,6.450654722378395,-0.6
T10173,1.4,461798,5.66445204770016,-0.6
T10173,2.4,55551,4.744691881289,-0.6
T10173,3.4,2435,3.386498965550653,-0.6
T10173,4.4,1189,3.0751818546186915,-0.6
T10173,5.4,5077,3.705607163404605,-0.6
T10173,6.4,2101,3.3224260524059526,-0.6
T10173,7.4,1084,3.0350292822023683,-0.6
T10173,8.4,312,2.494154594018443,-0.6
T10187,0,64442,4.809169010572212,-0.6
T10187,0.4,1203718,6.08052475487141,-0.6
T10187,1.4,2006024,6.302336124599262,-0.6
T10187,2.4,836232,5.922326782632611,-0.6
T10187,3.4,131037,5.117393941663291,-0.6
T10187,4.4,249700,5.397418542351348,-0.6
T10187,5.4,174151,5.24092597258257,-0.6
T10187,6.4,810569,5.908789990244087,-0.6
T10187,7.4,418786,5.621992154801517,-0.6
T10187,8.4,301496,5.479281554653777,-0.6
Z08214,0,52246,4.718053046085946,-0.6
Z08214,0.4,1915324,6.282242250633599,-0.6
Z08214,1.4,11473731,7.059704663693093,-0.6
Z08214,2.4,2350574,6.371173928055979,-0.6
Z08214,3.4,1098525,6.040809944951114,-0.6
Z08214,4.4,110456,5.043189311842738,-0.6
Z08214,5.4,92349,4.965432197049316,-0.6
Z08214,6.4,43432,4.637809828647623,-0.6
Z08214,7.4,31315,4.495752416037327,-0.6
Z08214,8.4,9723,3.9878002857518724,-0.6
Z09087,0,69956,4.844824969080059,-0.6
Z09087,0.4,1132222,6.053931589327744,-0.6
Z09087,1.4,9928549,6.996885783506639,-0.6
Z09087,2.4,676436,5.8302267127419425,-0.6
Z09087,3.4,1051335,6.021741122754733,-0.6
Z09087,4.4,764386,5.883312724198745,-0.6
Z09087,5.4,59599,4.775238972858938,-0.6
Z09087,6.4,182663,5.261650586087247,-0.6
Z09087,7.4,126524,5.102172913487657,-0.6
Z09087,8.4,180676,5.256900467116514,-0.6
Z09106,0,158779,5.20079306240337,-0.6
Z09106,0.4,7621594,6.88204581031703,-0.6
Z09106,1.4,3394484,6.530773765955442,-0.6
Z09106,2.4,3179064,6.502299271094094,-0.6
Z09106,3.4,315320,5.498751517890846,-0.6
Z09106,4.4,545291,5.736628329737815,-0.6
Z09106,5.4,213251,5.328891076385697,-0.6
Z09106,6.4,150746,5.178245797090961,-0.6
Z09106,7.4,84353,4.926100532808689,-0.6
Z09106,8.4,133137,5.124298766690125,-0.6
Z09125,0,177698,5.249682539826394,-0.6
Z09125,0.4,9849907,6.993432130032892,-0.6
Z09125,1.4,8446774,6.926690874451859,-0.6
Z09125,2.4,1103801,6.042890783183028,-0.6
Z09125,3.4,96271,4.983495483004803,-0.6
Z09125,4.4,25673,4.409476620806971,-0.6
Z09125,5.4,3894,3.590395947184013,-0.6
Z09125,6.4,7117,3.8522969658269255,-0.6
Z09125,7.4,4197,3.62293896921149,-0.6
Z09125,8.4,791,2.8981764834976764,-0.6
Z09144,0,420969,5.624250115729643,-0.6
Z09144,0.4,6026033,6.780031505644451,-0.6
Z09144,1.4,20387157,7.309356667401594,-0.6
Z09144,2.4,3309479,6.519759629656567,-0.6
Z09144,3.4,274226,5.438108628867858,-0.6
Z09144,4.4,214392,5.331208575700411,-0.6
Z09144,5.4,100920,5.003977241845537,-0.6
Z09144,6.4,551728,5.741725024807701,-0.6
Z09144,7.4,1079910,6.033387562772074,-0.6
Z09144,8.4,1342902,6.128044320626902,-0.6
Z09192,0,161066,5.2070038733131945,-0.6
Z09192,0.4,10998928,7.041350359124432,-0.6
Z09192,1.4,321130,5.506680879300108,-0.6
Z09192,2.4,3476654,6.5411614714230355,-0.6
Z09192,3.4,80942,4.9081739311925965,-0.6
Z09192,4.4,33639,4.5268430768720975,-0.6
Z09192,5.4,5493,3.739809599021359,-0.6
Z09192,6.4,2912,3.4641913706409997,-0.6
Z09192,7.4,1070,3.0293837776852097,-0.6
Z09192,8.4,1670,3.2227164711475833,-0.6
Z09196,0,19424,4.288338669395164,-0.4
Z09196,0.6,515191,5.711968267619462,-0.4
Z09196,1.6,373680,5.572499854279727,-0.4
Z09196,2.6,394746,5.596317737953976,-0.4
Z09196,3.6,160557,5.205629244783254,-0.4
Z09196,4.6,49104,4.691116871087748,-0.4
Z09196,5.6,16988,4.230142252318642,-0.4
Z09196,6.6,1771,3.248218561190075,-0.4
