animal_id,weeks,viral_load,log10_VL,true_time0
Z09196,7.6,3067,3.4867137759824853,-0.4
Z09196,8.6,627,2.7972675408307164,-0.4
Z09204,0,29449,4.469070552031253,-0.4
Z09204,0.6,546250,5.737391449978478,-0.4
Z09204,1.6,637724,5.804632761461825,-0.4
Z09204,2.6,69021,4.838981247208957,-0.4
Z09204,3.6,14783,4.169762576902915,-0.4
Z09204,4.6,33292,4.5223398859609105,-0.4
Z09204,5.6,13162,4.119321886463977,-0.4
Z09204,6.6,4836,3.6844862921887342,-0.4
Z09204,7.6,1999,3.300812794118117,-0.4
Z09204,8.6,295,2.469822015978163,-0.4
Z11151,0,12401403,7.093470820701766,-1
Z11151,1,73213740,7.864592592618698,-1
Z11151,2,304475,5.483551639143684,-1
Z11151,3,271981,5.434538566227697,-1
Z11151,4,164773,5.216886048916457,-1
Z11151,5,190447,5.279774135864345,-1
Z11151,6,196590,5.293561422675801,-1
Z11151,7,69213,4.84018767390784,-1
Z11151,8,38243,4.582551953487472,-1
Z12037,0,27811295,7.444221211742975,-1
Z12037,1,32260599,7.508672426908477,-1
Z12037,2,500109,5.6990646702148675,-1
Z12037,3,368510,5.566449277502785,-1
Z12037,4,464105,5.666616247282879,-1
Z12037,5,238553,5.377584882539268,-1
Z12037,6,167748,5.224657350932584,-1
Z12037,7,74247,4.870678910382956,-1
Z12037,8,48471,4.685481979698041,-1
Z12216,0,10661493,7.027818026103251,-1
Z12216,1,50396078,7.702396739436898,-1
Z12216,2,4655726,6.667987413181869,-1
Z12216,3,663376,5.821759755311125,-1
Z12216,4,253028,5.40316858272777,-1
Z12216,5,564906,5.751976187505053,-1
Z12216,6,276655,5.441938523647539,-1
Z12216,7,120528,5.081087950088509,-1
Z12216,8,199128,5.299132331802942,-1
Z12351,0,8968500,6.952719812475832,-1
Z12351,1,34634216,7.539505361144865,-1
Z12351,2,362021,5.558733763681217,-1
Z12351,3,43994,4.6433934504731535,-1
Z12351,4,6984,3.8441042306975133,-1
Z12351,5,3250,3.5118833609788744,-1
Z12351,6,623,2.7944880466591697,-1
Z12351,7,2718,3.4342494523964757,-1
Z12351,8,303,2.481442628502305,-1
Z12370,0,7509316,6.8756003802858965,-1
Z12370,2,2764697,6.441647541268675,-1
Z12370,3,473792,5.675587723366089,-1
Z12370,4,108843,5.036800503573451,-1
Z12370,5,29642,4.471907502939561,-1
Z12370,6,15315,4.185117001142592,-1
Z12370,7,1753,3.243781916093795,-1
Z12370,8,2667,3.4260230156898763,-1
Z12417,0,114549,5.058991302199554,-0.4
Z12417,0.6,1131130,6.053512520962738,-0.4
Z12417,2.6,16876,4.2272695167098435,-0.4
Z12417,3.6,17625,4.246129125663436,-0.4
Z12417,4.6,149525,5.174713811084144,-0.4
Z12417,5.6,24585,4.390670212626181,-0.4
Z12417,6.6,4499,3.653115993165567,-0.4
Z12417,7.6,839,2.9237619608287004,-0.4
Z12417,8.6,538,2.7307822756663893,-0.4
Z12420,0,161889,5.209217340405019,-0.4
Z12420,0.6,1265743,6.102345534265649,-0.4
Z12420,2.6,26337,4.4205663037446925,-0.4
Z12420,3.6,29889,4.47551138503771,-0.4
Z12420,4.6,2548,3.406199423663313,-0.4
Z12420,5.6,899,2.9537596917332287,-0.4
Z12420,6.6,172,2.2355284469075487,-0.4
Z12420,7.6,267,2.4265112613645754,-0.4
Z12420,8.6,111,2.0453229787866576,-0.4
Z13133,0,55360978,7.743203753707581,-1
Z13133,2,5966,3.7756832490260437,-1
Z13133,3,24539,4.3898568606187425,-1
Z13133,4,13043,4.115377494279117,-1
Z13133,5,16659,4.221648928192229,-1
Z13133,6,51065,4.708123336243728,-1
Z13133,7,1124,3.0507663112330423,-1
Z13133,8,837,2.92272545799326,-1
